"","Precinct","First","Second","Third","Ward"
"50","P-04","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-11"
"51","P-08","JOSHUA REA","DON SAMUELS","BETSY HODGES","W-8"
"52","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-1"
"53","P-09","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-11"
"54","P-01","ALICIA K. BENNETT","BETSY HODGES","DON SAMUELS","W-9"
"55","P-08","BETSY HODGES","DOUG MANN","CAPTAIN JACK SPARROW","W-10"
"56","P-05","JACKIE CHERRYHOMES","DON SAMUELS","BETSY HODGES","W-8"
"57","P-08","DAN COHEN","JACKIE CHERRYHOMES","JAYMIE KELLY","W-8"
"58","P-07","JACKIE CHERRYHOMES","MARK ANDREW","CAM WINTON","W-13"
"59","P-04","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-4"
"60","P-02","BETSY HODGES","DON SAMUELS","CAM WINTON","W-6"
"61","P-07","BETSY HODGES","undervote","undervote","W-8"
"62","P-04","CAM WINTON","BETSY HODGES","JACKIE CHERRYHOMES","W-11"
"63","P-02","MARK ANDREW","BETSY HODGES","BOB FINE","W-13"
"64","P-03","DON SAMUELS","JACKIE CHERRYHOMES","MARK ANDREW","W-4"
"65","P-05","CAM WINTON","OLE SAVIOR","BILL KAHN","W-1"
"66","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-2"
"67","P-01","MARK ANDREW","BETSY HODGES","JEFFREY ALAN WAGNER","W-12"
"68","P-06","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-11"
"69","P-09","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-2"
"70","P-01","DON SAMUELS","DAN COHEN","BOB FINE","W-1"
"71","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"72","P-08","BETSY HODGES","BOB FINE","GREGG A. IVERSON","W-3"
"73","P-08","undervote","undervote","undervote","W-5"
"74","P-07","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-10"
"75","P-06","DOUG MANN","JAYMIE KELLY","BETSY HODGES","W-9"
"76","P-02","BETSY HODGES","CHRISTOPHER CLARK","OLE SAVIOR","W-3"
"77","P-06","MARK ANDREW","undervote","undervote","W-10"
"78","P-05","BETSY HODGES","JACKIE CHERRYHOMES","ALICIA K. BENNETT","W-12"
"79","P-03","JACKIE CHERRYHOMES","BOB FINE","ALICIA K. BENNETT","W-8"
"80","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-10"
"81","P-07","CAM WINTON","BETSY HODGES","undervote","W-10"
"82","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-9"
"83","P-06","BETSY HODGES","MARK ANDREW","undervote","W-8"
"84","P-02","BETSY HODGES","CAM WINTON","BOB FINE","W-6"
"85","P-01","BETSY HODGES","DON SAMUELS","MARK V ANDERSON","W-13"
"86","P-02","CAM WINTON","DAN COHEN","BETSY HODGES","W-13"
"87","P-06","JOSHUA REA","KURTIS W. HANNA","NEAL BAXTER","W-10"
"88","P-09","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-13"
"89","P-02D","CAM WINTON","MARK ANDREW","BETSY HODGES","W-7"
"90","P-02","MARK ANDREW","BETSY HODGES","undervote","W-12"
"91","P-08","BETSY HODGES","JACKIE CHERRYHOMES","undervote","W-2"
"92","P-03","OLE SAVIOR","OLE SAVIOR","OLE SAVIOR","W-6"
"93","P-01","DON SAMUELS","JACKIE CHERRYHOMES","JAMES ""JIMMY"" L. STROUD, JR.","W-4"
"94","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"95","P-01","ALICIA K. BENNETT","JEFFREY ALAN WAGNER","BETSY HODGES","W-3"
"96","P-01","JACKIE CHERRYHOMES","MARK V ANDERSON","BETSY HODGES","W-5"
"97","P-09","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-7"
"98","P-02","BETSY HODGES","undervote","undervote","W-6"
"99","P-08","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"100","P-02","DON SAMUELS","MARK ANDREW","BETSY HODGES","W-9"
"101","P-02","DON SAMUELS","JACKIE CHERRYHOMES","STEPHANIE WOODRUFF","W-9"
"102","P-07","CAM WINTON","DON SAMUELS","MARK ANDREW","W-8"
"103","P-03","BETSY HODGES","JACKIE CHERRYHOMES","undervote","W-12"
"104","P-09","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-1"
"105","P-09","DON SAMUELS","CAM WINTON","DAN COHEN","W-10"
"106","P-04","DON SAMUELS","MARK ANDREW","BETSY HODGES","W-1"
"107","P-01","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-10"
"108","P-01","JAYMIE KELLY","DOUG MANN","undervote","W-2"
"109","P-02","BETSY HODGES","DON SAMUELS","DOUG MANN","W-8"
"110","P-04","DAN COHEN","BETSY HODGES","JACKIE CHERRYHOMES","W-12"
"111","P-02","undervote","undervote","MARK ANDREW","W-6"
"112","P-01","MARK ANDREW","undervote","undervote","W-6"
"113","P-07","MARK ANDREW","DOUG MANN","TROY BENJEGERDES","W-11"
"114","P-08","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-1"
"115","P-04D","CAM WINTON","BETSY HODGES","CAPTAIN JACK SPARROW","W-7"
"116","P-09","DON SAMUELS","BETSY HODGES","JEFFREY ALAN WAGNER","W-1"
"117","P-05","STEPHANIE WOODRUFF","CAM WINTON","BETSY HODGES","W-1"
"118","P-04","MARK ANDREW","undervote","undervote","W-6"
"119","P-02","BETSY HODGES","DON SAMUELS","UWI","W-13"
"120","P-05","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-4"
"121","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-8"
"122","P-02","DON SAMUELS","undervote","undervote","W-4"
"123","P-10","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-11"
"124","P-07","CHRISTOPHER CLARK","CHRISTOPHER ROBIN ZIMMERMAN","CAM WINTON","W-7"
"125","P-06","CAPTAIN JACK SPARROW","JOHN CHARLES WILSON","JAYMIE KELLY","W-11"
"126","P-08","JACKIE CHERRYHOMES","BETSY HODGES","MARK ANDREW","W-12"
"127","P-07","JACKIE CHERRYHOMES","MARK ANDREW","BOB FINE","W-10"
"128","P-08","BETSY HODGES","DON SAMUELS","undervote","W-8"
"129","P-06","BETSY HODGES","DON SAMUELS","STEPHANIE WOODRUFF","W-3"
"130","P-03","BETSY HODGES","MARK V ANDERSON","DON SAMUELS","W-13"
"131","P-07","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"132","P-08","MARK ANDREW","undervote","undervote","W-2"
"133","P-03A","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-10"
"134","P-01","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-9"
"135","P-07","BETSY HODGES","DON SAMUELS","undervote","W-9"
"136","P-02D","MARK ANDREW","BOB FINE","CAM WINTON","W-7"
"137","P-10","JACKIE CHERRYHOMES","DON SAMUELS","BOB ""AGAIN"" CARNEY JR","W-7"
"138","P-02","CAM WINTON","undervote","undervote","W-13"
"139","P-02","BETSY HODGES","undervote","undervote","W-6"
"140","P-06","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-3"
"141","P-06","BETSY HODGES","CAM WINTON","MARK ANDREW","W-13"
"142","P-10","MARK ANDREW","CAM WINTON","BOB FINE","W-11"
"143","P-08","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"144","P-07","BETSY HODGES","MARK ANDREW","undervote","W-8"
"145","P-05","MARK V ANDERSON","BOB FINE","undervote","W-8"
"146","P-04","MARK ANDREW","CAM WINTON","DON SAMUELS","W-1"
"147","P-04","BETSY HODGES","STEPHANIE WOODRUFF","DON SAMUELS","W-2"
"148","P-04D","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-7"
"149","P-04","CAM WINTON","undervote","undervote","W-11"
"150","P-07","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-3"
"151","P-09","DON SAMUELS","BETSY HODGES","BOB FINE","W-13"
"152","P-02","undervote","undervote","undervote","W-3"
"153","P-05","BETSY HODGES","MARK ANDREW","DOUG MANN","W-13"
"154","P-06","UWI","DOUG MANN","BETSY HODGES","W-9"
"155","P-09","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-10"
"156","P-08","CAM WINTON","JEFFREY ALAN WAGNER","BOB FINE","W-4"
"157","P-01","BETSY HODGES","BETSY HODGES","BETSY HODGES","W-8"
"158","P-08","MARK ANDREW","undervote","undervote","W-4"
"159","P-03","MARK ANDREW","BETSY HODGES","BOB FINE","W-1"
"160","P-02","BETSY HODGES","undervote","undervote","W-10"
"161","P-09","MARK ANDREW","BETSY HODGES","DOUG MANN","W-7"
"162","P-05","CAM WINTON","DAN COHEN","STEPHANIE WOODRUFF","W-7"
"163","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-3"
"164","P-08","DON SAMUELS","MARK ANDREW","undervote","W-11"
"165","P-03","BETSY HODGES","CAM WINTON","DAN COHEN","W-3"
"166","P-08","undervote","MARK ANDREW","undervote","W-6"
"167","P-01","BETSY HODGES","BOB FINE","MARK ANDREW","W-6"
"168","P-03","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-1"
"169","P-6C","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-5"
"170","P-08","MARK ANDREW","undervote","undervote","W-8"
"171","P-05","MARK ANDREW","DON SAMUELS","undervote","W-7"
"172","P-08","STEPHANIE WOODRUFF","JOSHUA REA","MIKE GOULD","W-3"
"173","P-04D","MARK ANDREW","BOB FINE","DAN COHEN","W-7"
"174","P-04","MARK ANDREW","DON SAMUELS","undervote","W-11"
"175","P-04","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-13"
"176","P-08","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-4"
"177","P-03","CAM WINTON","MARK ANDREW","BETSY HODGES","W-7"
"178","P-05","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-13"
"179","P-02","DAN COHEN","BOB FINE","undervote","W-9"
"180","P-03","BETSY HODGES","JACKIE CHERRYHOMES","DAN COHEN","W-12"
"181","P-05","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-2"
"182","P-03A","DON SAMUELS","BETSY HODGES","BOB FINE","W-10"
"183","P-02","BETSY HODGES","undervote","undervote","W-6"
"184","P-03","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-3"
"185","P-05","MARK V ANDERSON","undervote","undervote","W-3"
"186","P-09","BETSY HODGES","MARK ANDREW","undervote","W-10"
"187","P-07","CAM WINTON","JACKIE CHERRYHOMES","BETSY HODGES","W-10"
"188","P-03","BETSY HODGES","JAMES EVERETT","MARK V ANDERSON","W-9"
"189","P-07","BETSY HODGES","DON SAMUELS","BOB FINE","W-8"
"190","P-08","DAN COHEN","DOUG MANN","MARK V ANDERSON","W-13"
"191","P-03","JOHN LESLIE HARTWIG","CAM WINTON","NEAL BAXTER","W-11"
"192","P-03","MARK ANDREW","undervote","undervote","W-6"
"193","P-03","BETSY HODGES","undervote","undervote","W-13"
"194","P-06","MIKE GOULD","CAM WINTON","BETSY HODGES","W-2"
"195","P-08","MARK ANDREW","BETSY HODGES","STEPHANIE WOODRUFF","W-8"
"196","P-06","DON SAMUELS","BETSY HODGES","CAM WINTON","W-12"
"197","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-6"
"198","P-08","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"199","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"200","P-05","BETSY HODGES","DOUG MANN","TONY LANE","W-7"
"201","P-09","OLE SAVIOR","OLE SAVIOR","OLE SAVIOR","W-12"
"202","P-08","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-5"
"203","P-09","DAN COHEN","DON SAMUELS","CAM WINTON","W-7"
"204","P-06","MARK ANDREW","JACKIE CHERRYHOMES","BOB FINE","W-11"
"205","P-05","CAM WINTON","DAN COHEN","CHRISTOPHER CLARK","W-3"
"206","P-03","BETSY HODGES","BOB ""AGAIN"" CARNEY JR","CAPTAIN JACK SPARROW","W-11"
"207","P-04","BOB FINE","MARK V ANDERSON","undervote","W-3"
"208","P-08","JACKIE CHERRYHOMES","BETSY HODGES","MARK ANDREW","W-8"
"209","P-08","MARK ANDREW","BOB FINE","BETSY HODGES","W-8"
"210","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-10"
"211","P-10","MARK ANDREW","BETSY HODGES","undervote","W-11"
"212","P-06","BETSY HODGES","MARK ANDREW","BOB FINE","W-13"
"213","P-05","MARK V ANDERSON","MARK V ANDERSON","MARK V ANDERSON","W-8"
"214","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"215","P-08","BETSY HODGES","BOB FINE","MIKE GOULD","W-6"
"216","P-08","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"217","P-02","MARK ANDREW","BOB FINE","CAPTAIN JACK SPARROW","W-2"
"218","P-06","DOUG MANN","BETSY HODGES","DON SAMUELS","W-8"
"219","P-04","BETSY HODGES","BETSY HODGES","BETSY HODGES","W-10"
"220","P-06","CAM WINTON","OLE SAVIOR","KURTIS W. HANNA","W-3"
"221","P-05","CAM WINTON","BETSY HODGES","BOB FINE","W-11"
"222","P-01","CAM WINTON","MARK ANDREW","JACKIE CHERRYHOMES","W-1"
"223","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"224","P-08","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-8"
"225","P-06","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-9"
"226","P-01","BETSY HODGES","MARK ANDREW","BOB FINE","W-10"
"227","P-06","CAM WINTON","ALICIA K. BENNETT","BOB ""AGAIN"" CARNEY JR","W-13"
"228","P-08","DON SAMUELS","STEPHANIE WOODRUFF","BOB FINE","W-12"
"229","P-02","MIKE GOULD","BETSY HODGES","JACKIE CHERRYHOMES","W-2"
"230","P-04","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"231","P-02","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-10"
"232","P-07","CAM WINTON","undervote","undervote","W-3"
"233","P-02D","DAN COHEN","DOUG MANN","STEPHANIE WOODRUFF","W-7"
"234","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-2"
"235","P-09","DAN COHEN","undervote","undervote","W-1"
"236","P-06","DON SAMUELS","MARK ANDREW","BOB FINE","W-8"
"237","P-09","BETSY HODGES","JAMES EVERETT","STEPHANIE WOODRUFF","W-11"
"238","P-05","JACKIE CHERRYHOMES","MARK ANDREW","BETSY HODGES","W-4"
"239","P-07","BETSY HODGES","BOB FINE","MARK ANDREW","W-7"
"240","P-09","MARK ANDREW","BETSY HODGES","DAN COHEN","W-13"
"241","P-08","BOB FINE","GREGG A. IVERSON","JACKIE CHERRYHOMES","W-12"
"242","P-04","BETSY HODGES","STEPHANIE WOODRUFF","CAM WINTON","W-11"
"243","P-04","CAM WINTON","BOB FINE","BETSY HODGES","W-11"
"244","P-03","MARK ANDREW","undervote","undervote","W-6"
"245","P-03A","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-10"
"246","P-06","DON SAMUELS","BOB FINE","BOB ""AGAIN"" CARNEY JR","W-3"
"247","P-06","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-11"
"248","P-08","MARK ANDREW","BETSY HODGES","undervote","W-13"
"249","P-02","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-1"
"250","P-06","CAM WINTON","STEPHANIE WOODRUFF","undervote","W-13"
"251","P-08","MARK ANDREW","BETSY HODGES","CAM WINTON","W-7"
"252","P-02","MARK ANDREW","NEAL BAXTER","TROY BENJEGERDES","W-1"
"253","P-02","MARK ANDREW","CAM WINTON","BETSY HODGES","W-11"
"254","P-03","CAM WINTON","undervote","undervote","W-1"
"255","P-09","CAM WINTON","DAN COHEN","DON SAMUELS","W-10"
"256","P-01","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-11"
"257","P-05","BETSY HODGES","undervote","undervote","W-6"
"258","P-04","MARK ANDREW","undervote","undervote","W-13"
"259","P-10","DAN COHEN","MARK ANDREW","DON SAMUELS","W-11"
"260","P-04","CAM WINTON","DON SAMUELS","BETSY HODGES","W-12"
"261","P-08","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"262","P-01","JAMES EVERETT","DOUG MANN","BETSY HODGES","W-3"
"263","P-05","BETSY HODGES","DON SAMUELS","CAM WINTON","W-7"
"264","P-04D","DON SAMUELS","CAM WINTON","BETSY HODGES","W-7"
"265","P-03","BETSY HODGES","MARK ANDREW","DOUG MANN","W-2"
"266","P-05","BETSY HODGES","MARK ANDREW","MARK V ANDERSON","W-5"
"267","P-04","BETSY HODGES","undervote","undervote","W-11"
"268","P-02","DOUG MANN","DON SAMUELS","BETSY HODGES","W-9"
"269","P-04","BETSY HODGES","undervote","undervote","W-11"
"270","P-03A","BETSY HODGES","BOB FINE","MARK ANDREW","W-10"
"271","P-06","MARK ANDREW","DON SAMUELS","BOB FINE","W-8"
"272","P-07","MARK ANDREW","undervote","undervote","W-5"
"273","P-03A","MARK ANDREW","BETSY HODGES","undervote","W-10"
"274","P-03","BETSY HODGES","undervote","undervote","W-9"
"275","P-07","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-3"
"276","P-04","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-4"
"277","P-03","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-1"
"278","P-02","BETSY HODGES","undervote","undervote","W-13"
"279","P-03","JACKIE CHERRYHOMES","DON SAMUELS","undervote","W-1"
"280","P-04","JACKIE CHERRYHOMES","MARK ANDREW","BETSY HODGES","W-8"
"281","P-09","MARK ANDREW","BETSY HODGES","BOB FINE","W-3"
"282","P-08","BETSY HODGES","CAM WINTON","undervote","W-2"
"283","P-01","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-4"
"284","P-04","CAM WINTON","DON SAMUELS","STEPHANIE WOODRUFF","W-2"
"285","P-08","OLE SAVIOR","NEAL BAXTER","JOHN LESLIE HARTWIG","W-5"
"286","P-09","MARK ANDREW","BOB FINE","BETSY HODGES","W-11"
"287","P-06","MARK ANDREW","BETSY HODGES","STEPHANIE WOODRUFF","W-1"
"288","P-03","BETSY HODGES","MARK ANDREW","ALICIA K. BENNETT","W-1"
"289","P-04","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-13"
"290","P-09","BETSY HODGES","DAN COHEN","TONY LANE","W-7"
"291","P-02","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-5"
"292","P-05","JOSHUA REA","JAYMIE KELLY","BETSY HODGES","W-8"
"293","P-01","MARK ANDREW","undervote","undervote","W-3"
"294","P-07","BETSY HODGES","STEPHANIE WOODRUFF","GREGG A. IVERSON","W-10"
"295","P-06","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-1"
"296","P-05","CAM WINTON","BOB FINE","BETSY HODGES","W-13"
"297","P-04","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-8"
"298","P-09","undervote","undervote","undervote","W-10"
"299","P-03","BETSY HODGES","BOB FINE","JACKIE CHERRYHOMES","W-13"
"300","P-04","JACKIE CHERRYHOMES","MARK ANDREW","undervote","W-5"
"301","P-08","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-3"
"302","P-02","BETSY HODGES","CAM WINTON","STEPHANIE WOODRUFF","W-2"
"303","P-03","DAN COHEN","JACKIE CHERRYHOMES","MERRILL ANDERSON","W-2"
"304","P-03","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-7"
"305","P-02","DON SAMUELS","BOB FINE","CAM WINTON","W-13"
"306","P-07","BETSY HODGES","DON SAMUELS","BOB FINE","W-1"
"307","P-05","CAM WINTON","MARK ANDREW","DON SAMUELS","W-1"
"308","P-03","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-1"
"309","P-07","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-10"
"310","P-08","BETSY HODGES","BOB FINE","STEPHANIE WOODRUFF","W-8"
"311","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-10"
"312","P-02","BETSY HODGES","DON SAMUELS","BOB FINE","W-13"
"313","P-02D","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-7"
"314","P-01","BETSY HODGES","DOUG MANN","DON SAMUELS","W-6"
"315","P-05","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-1"
"316","P-02","BETSY HODGES","undervote","undervote","W-2"
"317","P-06","JACKIE CHERRYHOMES","undervote","undervote","W-7"
"318","P-03","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-11"
"319","P-08","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-2"
"320","P-04D","CAM WINTON","BETSY HODGES","CAPTAIN JACK SPARROW","W-7"
"321","P-08","MARK ANDREW","BETSY HODGES","undervote","W-7"
"322","P-05A","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-10"
"323","P-08","BETSY HODGES","DON SAMUELS","undervote","W-2"
"324","P-01","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-10"
"325","P-05","JAMES EVERETT","STEPHANIE WOODRUFF","MARK ANDREW","W-5"
"326","P-06","MIKE GOULD","MARK ANDREW","STEPHANIE WOODRUFF","W-8"
"327","P-02","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-13"
"328","P-05A","undervote","undervote","undervote","W-10"
"329","P-04","BETSY HODGES","undervote","undervote","W-3"
"330","P-06","BETSY HODGES","BOB FINE","undervote","W-11"
"331","P-03","CAM WINTON","BETSY HODGES","DAN COHEN","W-1"
"332","P-06","BETSY HODGES","MARK V ANDERSON","undervote","W-13"
"333","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"334","P-02","BETSY HODGES","ALICIA K. BENNETT","STEPHANIE WOODRUFF","W-9"
"335","P-07","JACKIE CHERRYHOMES","BETSY HODGES","DON SAMUELS","W-11"
"336","P-03","BETSY HODGES","CAPTAIN JACK SPARROW","CAPTAIN JACK SPARROW","W-8"
"337","P-05","DAN COHEN","CAM WINTON","MARK ANDREW","W-13"
"338","P-07","DON SAMUELS","JACKIE CHERRYHOMES","BOB FINE","W-8"
"339","P-03","CAM WINTON","DON SAMUELS","undervote","W-12"
"340","P-02","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-2"
"341","P-03A","MARK ANDREW","BETSY HODGES","undervote","W-10"
"342","P-08","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-12"
"343","P-07","DOUG MANN","undervote","undervote","W-9"
"344","P-06","MARK ANDREW","undervote","undervote","W-8"
"345","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"346","P-01","BETSY HODGES","MARK ANDREW","CAM WINTON","W-9"
"347","P-02","UWI","UWI","UWI","W-12"
"348","P-02","BETSY HODGES","MARK ANDREW","undervote","W-8"
"349","P-10","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"350","P-07","DON SAMUELS","BETSY HODGES","BOB FINE","W-4"
"351","P-08","CAM WINTON","undervote","undervote","W-11"
"352","P-06","STEPHANIE WOODRUFF","BOB FINE","JACKIE CHERRYHOMES","W-12"
"353","P-09","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-7"
"354","P-05","DON SAMUELS","BETSY HODGES","BOB FINE","W-7"
"355","P-02","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-4"
"356","P-09","BOB ""AGAIN"" CARNEY JR","ALICIA K. BENNETT","DON SAMUELS","W-6"
"357","P-03","JACKIE CHERRYHOMES","OLE SAVIOR","MARK ANDREW","W-6"
